ID,P.Value,logFC,Gene.symbol
209458_x_at,0.0230376,-1.81924491,HBA2///HBA1
207017_at,0.0230403,0.97688353,RAB27B
221728_x_at,0.023217,3.55721102,XIST
208392_x_at,0.0234137,1.73592858,SP110
220877_at,0.023416,0.83282167,
221333_at,0.0234361,1.204119,FOXP3
37004_at,0.0234808,1.32910182,SFTPB
214817_at,0.0235003,-1.28591976,UNC13A
221071_at,0.023564,1.10443504,
202754_at,0.0236194,-0.72019221,R3HDM1
208331_at,0.0236294,0.91207232,BPY2
205222_at,0.0236296,-1.31487555,EHHADH
219419_at,0.0236502,-0.83850318,RBFA
220530_at,0.0237845,1.72804706,
214674_at,0.023802,0.81009389,USP19
215644_at,0.0238036,1.33334096,ZNF518A
209528_s_at,0.0238411,-1.05375902,TELO2
210300_at,0.0238491,1.07424432,REM1
222023_at,0.0238517,1.16130889,AKAP13
211088_s_at,0.0238956,2.29427326,PLK4
201450_s_at,0.0239171,-0.68334724,TIA1
203700_s_at,0.0240229,-0.77387561,DIO2
220156_at,0.0240339,0.86583509,EFCAB1
205177_at,0.0240361,0.79124188,TNNI1
217414_x_at,0.024068,-2.5038717,HBA2///HBA1
211980_at,0.0241001,-0.94557846,COL4A1
202457_s_at,0.02424,-0.85124339,PPP3CA
213567_at,0.0242628,0.5357508,KPNA4
204870_s_at,0.0243084,-0.797081,PCSK2
217580_x_at,0.0243567,1.54905406,
210439_at,0.0246475,1.13064466,ICOS
200606_at,0.0247837,0.98367728,DSP
213488_at,0.0248647,0.98204426,SNED1
206809_s_at,0.0249454,-1.48151793,HNRNPA3///HNRNPA3P1
206282_at,0.0250399,-0.77669182,NEUROD1
215119_at,0.02509,-1.8729633,MYO16
209561_at,0.0250997,-0.94323758,THBS3
210517_s_at,0.0251129,-0.62227557,AKAP12
217066_s_at,0.0251617,1.3184431,DMPK
220347_at,0.0252321,0.64695308,SMG6
209877_at,0.0252524,-1.74133172,SNCG
221968_s_at,0.0252592,1.10268488,ZNF771
219330_at,0.0253912,0.98437558,VANGL1
219654_at,0.0254515,-0.81111131,HACD1
216098_s_at,0.0254995,0.82019663,HTR7P1///HTR7
206368_at,0.0255062,-1.63676501,CPLX2
216851_at,0.0255828,0.95254075,IGLL5///IGLJ3///IGLV3-19
217190_x_at,0.0255978,0.91025008,ESR1
206101_at,0.0256074,0.77528412,ECM2
210019_at,0.0257196,1.43236214,CALML3
214318_s_at,0.0257198,1.15937642,FRY
221258_s_at,0.0257249,-1.82430943,KIF18A
216575_at,0.025751,-1.8909069,
212943_at,0.0258754,-0.5910778,C2CD5
218529_at,0.025936,-1.25386707,CD320
216897_s_at,0.0260253,1.60216437,FAM76A
209129_at,0.026126,0.54807719,TRIP6
203293_s_at,0.0261653,0.76575211,LMAN1
217148_x_at,0.0262168,-1.64967744,IGLJ3///IGLV@///IGLC1
216626_at,0.0263552,1.25155303,
200841_s_at,0.0263578,1.20758594,EPRS
220354_at,0.0263909,1.46055698,MCF2L-AS1
214013_s_at,0.0264392,0.93103278,TBC1D1
207597_at,0.0265,1.63245946,ADAM18
216503_s_at,0.0265104,-1.25846741,MLLT10
214722_at,0.0265463,0.72234416,NOTCH2NL
