ID,P.Value,logFC,Gene.symbol
202327_s_at,0.0338417,-0.871791,LOC101930075///PKD1
203867_s_at,0.0339294,0.9702869,NLE1
216494_at,0.0340014,1.6675004,
200930_s_at,0.0340179,0.9613831,VCL
221325_at,0.0340373,1.3223022,KCNK13
211205_x_at,0.0340754,1.2516256,PIP5K1A
216982_x_at,0.0341452,-1.306375,
210688_s_at,0.0341663,1.0829549,CPT1A
206609_at,0.0342762,-0.9764216,MAGEC1
213727_x_at,0.0342868,0.6949283,MPPE1
220279_at,0.0343015,1.0320054,TRIM17
222208_s_at,0.034302,0.721952,POLR2J4
217641_at,0.0344155,1.3745511,GPR135
217125_at,0.0344875,1.0169608,UBBP2
205492_s_at,0.034494,-0.9616016,DPYSL4
214790_at,0.0345722,0.8785782,SENP6
205535_s_at,0.0348499,1.3938724,PCDH7
216101_at,0.0349734,0.943599,
32069_at,0.0349953,-0.5270048,N4BP1
212170_at,0.0350509,1.5855648,RBM12
218187_s_at,0.0351821,0.5174976,C8orf33
219881_s_at,0.0352585,0.7150952,CTC-338M12.4
204708_at,0.0353717,1.0790072,MAPK4
202726_at,0.0354451,0.7762559,LIG1
210435_at,0.0355386,1.5797559,ARL17B///ARL17A
203764_at,0.0357284,1.747933,DLGAP5
212046_x_at,0.0357606,0.6833046,MAPK3
217663_at,0.0358083,-0.9676863,ZNF234
213003_s_at,0.0358776,-1.5805409,SPIDR
217076_s_at,0.0360523,-1.6274852,LOC401021///HOXD4///HOXD3
217054_at,0.0361103,1.811164,MUC3A
211904_x_at,0.0361424,-1.1931963,RAD52
219686_at,0.0363139,1.5395322,STK32B
208369_s_at,0.0364647,0.5127964,GCDH
219587_at,0.0364877,1.6015759,TTC12
222063_s_at,0.0365508,-1.3972571,CDS1
205907_s_at,0.0365902,1.1801404,OMD
209132_s_at,0.0367266,0.5697838,COMMD4
211398_at,0.0368062,1.1204133,FGFR2
218429_s_at,0.0368319,-0.9659174,C19orf66
211500_at,0.0369438,0.6431832,MAPK11
205179_s_at,0.037017,1.3469294,ADAM8
222094_at,0.0370748,-0.7954867,SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3
202711_at,0.0371471,-0.7193483,EFNB1
216743_at,0.0373962,1.5232529,
214681_at,0.0375048,1.5603992,GK
214858_at,0.0375332,-1.0028817,PP14571
201887_at,0.0375496,0.5755083,IL13RA1
203381_s_at,0.0375782,-0.6858637,APOE
202697_at,0.0376161,0.6723568,NUDT21
220527_at,0.0376549,1.1725661,MRPL20
209551_at,0.0377008,-0.8424526,YIPF4
210163_at,0.0377465,-2.539094,CXCL11
213213_at,0.0378409,-0.5389499,DIDO1
219966_x_at,0.0378538,-0.7235116,BANP
206048_at,0.037964,1.6217747,OVOL2
211643_x_at,0.0381297,0.9316039,IGK///IGKC
221202_at,0.0381585,0.8143662,
207075_at,0.0381676,0.8331349,NLRP3
200908_s_at,0.0382508,-1.4021201,RPLP2
200706_s_at,0.0385377,0.8189352,LITAF
205430_at,0.0386295,-1.6488366,BMP5
206600_s_at,0.038748,1.6603797,SLC16A5
218876_at,0.0388267,1.1913076,TPPP3
217500_at,0.03893,-1.3199549,TIAL1
211287_x_at,0.0389956,0.6949518,CSF2RA
204138_s_at,0.0390392,1.1261768,MZF1
211980_at,0.0391171,-0.6068724,COL4A1
216501_at,0.0391634,0.7950512,VAC14
220347_at,0.0392223,0.5242166,SMG6
210009_s_at,0.0392361,1.0653822,GOSR2
206777_s_at,0.0393676,0.7164187,CRYBB2P1///CRYBB2
201785_at,0.0393946,0.7617425,RNASE1
213232_at,0.0395109,-1.2873556,FAM234B
220918_at,0.0395776,1.0380408,RUNX1-IT1
214493_s_at,0.0396141,1.4461195,PATJ
212501_at,0.0397315,-0.6419566,CEBPB
219423_x_at,0.0398137,-0.7835461,TNFRSF25
219673_at,0.0398584,0.4963238,MCM9
220172_at,0.0400255,-1.3638039,DCAF17
218657_at,0.0400577,-0.810295,RAPGEFL1
203511_s_at,0.0405309,0.5391945,TRAPPC3
220866_at,0.0405983,1.5862264,ADAMTS6
204317_at,0.0406018,-0.9465023,TRMU///GTSE1
220130_x_at,0.0406581,-1.1597902,LTB4R2
220122_at,0.0406587,-1.3252236,MCTP1
209103_s_at,0.0408706,0.6304153,UFD1L
212179_at,0.041098,-0.4978869,PNISR
221115_s_at,0.0412771,-0.7848738,LENEP
205496_at,0.0413029,-1.0826697,KIAA0408
202002_at,0.0413406,1.3797451,ACAA2
218416_s_at,0.0414151,0.6754302,SLC48A1
209015_s_at,0.0414575,-1.2373152,DNAJB6
213627_at,0.0415395,-0.4694442,MAGED2
222155_s_at,0.0417084,-1.4434443,SLC52A2
210836_x_at,0.0417335,-0.9745523,PDE4D
216535_at,0.0417466,0.9928178,CADM3
210911_at,0.0419955,-1.2521414,ID2B
212874_at,0.0420043,0.7936921,
211843_x_at,0.0420395,0.821151,CYP3A7-CYP3A51P
41660_at,0.0420788,-1.3444453,CELSR1
221262_s_at,0.0420923,1.1793361,SLC2A11
222341_x_at,0.0421018,0.7183763,
214103_s_at,0.0421997,0.7537144,RAP2A
220858_at,0.0423746,1.0037726,SORBS2
221563_at,0.0425492,0.7047429,DUSP10
215047_at,0.0428962,-1.6923557,TRIM58
204970_s_at,0.042912,-0.6107519,MAFG
206570_s_at,0.0430204,1.5515635,PSG11
204199_at,0.0431263,-0.586389,RALGPS1
208268_at,0.0431432,0.9077334,ADAM28
203969_at,0.0432201,0.9355309,PEX3
213269_at,0.0432491,-0.5270094,ZNF248
218691_s_at,0.0432825,-1.2047688,PDLIM4
213831_at,0.0433084,-1.6865642,LOC100509457///HLA-DQA1
207871_s_at,0.0434204,-0.4318426,MIR6132///ST7-OT3///ST7
206972_s_at,0.0434345,1.7589745,GPR161
214361_s_at,0.043443,-0.9672816,RGS12
206707_x_at,0.0435945,0.6694932,FAM65B
217158_at,0.0436206,0.8494569,PTGER4P2-CDK2AP2P2
217005_at,0.0436534,1.1295424,LDLR
204609_at,0.0436663,0.9511975,CCDC85B
207069_s_at,0.0438108,-0.8621171,SMAD6
