ID,P.Value,logFC,Gene.symbol
218087_s_at,0.0293236,0.7348925,SORBS1
211576_s_at,0.0293989,0.6194735,SLC19A1
208744_x_at,0.0293992,-1.2161611,HSPH1
215770_at,0.0294175,-1.1289631,OR7E2P
217784_at,0.0294189,1.4081132,YKT6
205133_s_at,0.0294388,-0.4957497,HSPE1
214061_at,0.0294803,-0.6782114,TBC1D31
209928_s_at,0.0294825,0.8572366,MSC
218214_at,0.029512,-0.8684117,ATG101
216391_s_at,0.0295377,0.9985463,KLHL1
206950_at,0.02956,-1.5158398,SCN9A
219051_x_at,0.0297318,0.5357213,METRN
211964_at,0.0297338,-0.7635171,COL4A2
218296_x_at,0.0297371,-0.5938292,MSTO2P///MSTO1
205171_at,0.0297431,-1.1485808,PTPN4
214295_at,0.0297963,0.7127232,KIAA0485
210991_s_at,0.0298005,0.79906,RIMS3
203346_s_at,0.0298272,0.5795072,MTF2
216465_at,0.0298298,1.5242911,
