ID,P.Value,logFC,Gene.symbol
228562_at,0.00456674,1.52669292,ZBTB10
237597_at,0.00458729,-2.91649582,
213787_s_at,0.00460659,-2.5510883,EBP
202718_at,0.00463663,-1.68902695,IGFBP2
240499_at,0.00467778,2.34619588,
213669_at,0.004698,-1.99617842,FCHO1
237793_at,0.00470878,-2.92983306,C20orf78
1559221_at,0.0047175,-2.61724681,LINC01013
204493_at,0.00472695,1.75138193,BID
236447_at,0.00474559,-2.20719976,GIGYF1
212014_x_at,0.00474853,2.78945869,CD44
233180_at,0.00477045,2.90040226,
231633_at,0.00478473,-2.5554806,
1554423_a_at,0.0047929,1.40128634,FBXO7
223610_at,0.00481985,-2.50834984,SEMA5B
1566631_at,0.00484073,-2.26708821,
204488_at,0.00486208,2.40058517,DOLK
204095_s_at,0.00489605,-2.10645043,ELL
215632_at,0.00492442,-1.36811574,NEUROG2
1554615_at,0.00493328,2.11018187,
1565580_s_at,0.00496501,-2.06090934,TATDN2
230711_at,0.00497305,2.73309348,
238527_at,0.00501108,-2.68191219,CLUHP3
234395_at,0.00501588,-2.37954138,
244531_at,0.00504198,1.85463036,NNT
243243_at,0.00506333,-2.97098419,GPC3
206218_at,0.0050709,-2.70826678,MAGEB2
215471_s_at,0.00507656,1.34206857,MAP7
221720_s_at,0.00507829,-1.90564847,
235097_at,0.00509935,2.51482719,TRMT44
1560021_at,0.00510366,2.92713457,
1566690_at,0.00511583,2.38293822,
1555452_at,0.00514775,-2.1863476,RALGPS1
237041_x_at,0.00515959,-2.04020663,RCOR1
1552993_at,0.00517787,-2.16204741,DYDC1
206642_at,0.00521611,1.6324971,DSG1
1556805_at,0.00522014,2.80504774,
241012_at,0.00525496,-3.28626748,
219655_at,0.00526721,-1.41320079,SUGCT
213844_at,0.00526936,-1.91517838,HOXA5
1561899_at,0.00530292,-3.07473576,CLECL1
214890_s_at,0.00530855,2.21970125,FAM149A
1552334_at,0.00531863,2.52760947,TRIOBP
210798_x_at,0.00534446,-2.17076199,MASP2
243132_at,0.00535781,2.20212524,APTX
1556810_a_at,0.00535822,2.49107584,
208482_at,0.00538978,2.18542196,SSTR1
233402_at,0.00539847,2.12527002,
217323_at,0.00545492,-2.66661298,HLA-DRB6
236703_at,0.00547916,-2.8708964,
237969_at,0.00548484,2.62553545,
216243_s_at,0.00548636,-2.18112173,IL1RN
209902_at,0.00549963,1.97670089,ATR
207667_s_at,0.00551218,2.51454539,LOC100996792///MAP2K3
232769_at,0.0055189,2.42386426,
233906_at,0.00552596,-1.73239971,
1568935_at,0.00553645,-2.61894484,
243871_at,0.00553694,-3.00523488,LOC100130476
1566232_at,0.00555277,-1.7279536,
210410_s_at,0.00555509,2.03756231,MSH5-SAPCD1///SAPCD1///MSH5
1566599_at,0.00556031,1.82415932,
1566441_at,0.00560556,-1.93873251,
215473_at,0.00561941,1.77835322,
1560615_a_at,0.00562298,1.98757122,
235364_at,0.00565403,-1.84587721,TSC22D3
222206_s_at,0.00568749,-2.34855668,NCLN
1556753_s_at,0.0057076,-2.81285502,
1561668_at,0.00572129,-2.14747861,
1562603_at,0.0058033,2.61887538,RAD51L3-RFFL///RFFL
226662_at,0.00580528,1.51453686,STX17
1566964_at,0.00581437,2.3289316,
1552976_at,0.00582266,-2.34985615,DNAJB13
225753_at,0.00584386,-2.06490677,ZNF513
212063_at,0.00585811,1.88768585,CD44
236730_at,0.00586896,-1.95354981,GIPC3
216969_s_at,0.00589647,-2.82528899,KIF22
1555679_a_at,0.00590006,2.30920127,RTN4IP1
233608_at,0.00592214,-2.95032858,
244445_at,0.00592229,2.30860013,
214255_at,0.00592616,1.72263705,ATP10A
1555002_at,0.0059359,2.75034149,LOC403312
212264_s_at,0.00594069,2.03351232,WAPL
240467_at,0.0059969,1.59003829,
223053_x_at,0.00601752,1.98850208,SSU72
229752_at,0.0060271,2.01472079,IKZF4
1555344_at,0.00603083,-2.41521418,
221835_at,0.00604574,-2.20231064,DTX3
240446_at,0.00605218,-1.86643913,
240312_at,0.00606565,-3.37292024,LOC389895
1560771_at,0.00606756,-1.99948072,
1553217_s_at,0.00609722,1.89566856,ZNF41
209682_at,0.00613878,2.26593233,CBLB
229251_s_at,0.00614551,2.22256825,TPCN2
229452_at,0.00615859,-2.43335297,TMEM88
1560469_at,0.0061776,-2.31399254,NR5A2
1570329_at,0.00621461,2.10285427,
233582_at,0.00621464,-2.28841038,LOC115110
1561030_at,0.00629133,1.69108958,TMC7
1556248_at,0.00630726,-1.98986647,EIF1B-AS1
228258_at,0.00631177,-2.55356229,TBC1D10C
1563887_at,0.00632439,-2.21856809,INTS4P1
233717_x_at,0.00632753,-1.99071754,
222790_s_at,0.00634176,-1.98942332,RSBN1
1570593_at,0.00636237,-3.3408783,
1563460_at,0.00639891,2.24963422,
215008_at,0.00642007,-2.44484076,TLL2
237098_at,0.00643181,2.24580767,C1orf21
1570133_at,0.00645254,-2.38812881,
1561937_x_at,0.0064914,-1.87458285,IGHV4-31///IGHM///IGHG1///IGHA1
1554129_a_at,0.00652399,-1.65496425,ADIG
237900_at,0.00652422,-2.24310995,KLHDC4
230892_at,0.00654578,2.34992738,
244673_at,0.00654626,-3.025871,KIAA1841
224029_x_at,0.00658898,-2.23436128,SCN11A
237966_at,0.00659095,-1.71557518,
203317_at,0.00661105,2.32472811,PSD4
1555516_at,0.00666906,-3.22443808,FOXP2
1559075_s_at,0.00666942,-1.86879127,BAHCC1
222071_s_at,0.00669106,-2.12069722,SLCO4C1
1569603_at,0.00670017,1.90344198,
1552982_a_at,0.00675281,-2.32363417,FGF4
206613_s_at,0.00676688,2.39336217,TAF1A
237953_at,0.00677377,1.60615119,
210359_at,0.00677892,1.8992205,MTSS1
1565657_at,0.00680971,2.48815076,CMTM6
227656_at,0.00685037,1.54549219,ERMARD
1565242_at,0.00687557,-2.46458782,TNXB
205490_x_at,0.0068797,-2.09525379,GJB3
213752_at,0.00694831,-2.1230508,KAZN
204122_at,0.00694923,1.8254583,TYROBP
1562289_at,0.00696115,2.6040923,
235549_at,0.00696134,2.78980737,RNF144B
210492_at,0.00696289,2.21531913,MFAP3L
210295_at,0.00697666,-2.03697976,MAGEA10
214831_at,0.00698759,1.37459192,ELK4
1559161_at,0.00703843,-2.51221316,
1553976_a_at,0.00703849,-2.09883847,DPCD
226611_s_at,0.00705781,2.32626032,CENPV
243498_at,0.00707045,-2.66511005,
232936_at,0.0070809,-2.04316789,KCNA7
237866_at,0.00710167,-2.05149297,PID1
209651_at,0.00713383,1.96354743,TGFB1I1
238372_s_at,0.00716214,2.59664122,
231288_at,0.0071775,2.21739694,CCDC88C
230330_at,0.00719421,-1.85642661,PPM1D
212541_at,0.00722695,1.73952961,FLAD1
234477_at,0.00724957,2.28752875,IGHV4-31///IGHA1
224898_at,0.00727088,1.3043818,WDR26
1558195_at,0.00727866,-1.63753108,LINC00592
234856_at,0.00728024,-2.25767304,
222162_s_at,0.00729571,2.96783974,ADAMTS1
224226_at,0.00729679,1.53869741,PKD2L2
1555553_a_at,0.00731957,-2.45095549,SLC22A7
240742_at,0.00735211,-1.47760485,
235618_at,0.00737083,1.30198547,ZNF507
242423_x_at,0.00737257,-2.39958329,
1561038_at,0.00738452,1.85543821,ZNF81
1555788_a_at,0.00738929,-2.59864585,TRIB3
1569212_at,0.00738932,-1.80787164,SCART1
230051_at,0.0074104,-2.56094362,PROSER2
229542_at,0.00741671,-2.39674883,C20orf85
221412_at,0.00741868,-1.83857253,VN1R1
240208_at,0.00743646,2.53836474,
235984_at,0.00745331,-3.46172206,
222313_at,0.00747198,1.35586675,
1569770_x_at,0.00747405,-2.07998228,
1558920_at,0.00749334,2.35731939,SLC8A1-AS1
1566419_at,0.00751279,-3.08029763,
216188_at,0.00754815,1.77698689,MYCNOS
1553043_a_at,0.00761538,-2.78655467,CD300LF
236616_at,0.0076224,-3.13125084,PSD4
223988_x_at,0.00764406,1.67939164,METTL17
202894_at,0.00764812,1.74752661,EPHB4
214745_at,0.00767419,-3.45959753,PLCH1
1559737_at,0.00769108,-2.49732394,
232424_at,0.00770471,1.22023777,PRDM16
1559333_at,0.00771489,-2.26305598,LOC101927416
239915_at,0.00772234,-1.96276367,HOXA-AS3
1556504_at,0.00773729,2.46697169,
1566726_at,0.0077412,-1.23035709,
1553629_a_at,0.00774738,2.15578601,FAM71B
210670_at,0.00778744,2.16946945,PPY
230442_at,0.00780648,-2.63235178,MTHFSD
216642_at,0.0078283,-2.35656768,
1557761_s_at,0.00784771,-1.57208525,LOC400794
211645_x_at,0.00788118,-2.4773533,
236833_at,0.00788487,-1.92774707,TTC16
233248_at,0.00788543,-1.58856566,
229074_at,0.0078997,2.6784583,EHD4
202238_s_at,0.00791443,-2.4382403,LOC101928916///NNMT
206816_s_at,0.00794403,-1.61039466,SPAG8
1569251_a_at,0.00794566,2.42969769,ZNF333
211831_s_at,0.00794603,-1.74076163,THPO
218304_s_at,0.00795676,2.19390909,OSBPL11
236545_at,0.00800491,1.37139573,
232146_at,0.00800639,-2.04117074,NDUFC1
204487_s_at,0.0080259,2.22994604,KCNQ1
238681_at,0.00802619,-1.40092786,GDPD1
1557555_at,0.00804392,-1.54511227,
234301_s_at,0.00804544,-2.89152713,TFB1M
215437_x_at,0.00805071,-2.12496636,BAZ2A
1555097_a_at,0.00806115,-2.33485306,PTGFR
211273_s_at,0.00809827,2.14218356,TBX1
1556454_a_at,0.00810218,-2.37243076,LOC100506274
230532_at,0.00810713,2.24076034,CXorf38
240345_x_at,0.00812889,-2.40020522,
225158_at,0.00814829,-1.34761862,GFM1
1557829_at,0.00816615,2.6389307,
228217_s_at,0.008172,-1.14896368,PSMG4
206575_at,0.00818422,-2.33050435,CDKL5
206781_at,0.00818874,1.47102974,DNAJC4
238534_at,0.00821658,1.64171346,LRRFIP1
217502_at,0.00824055,2.03277011,IFIT2
231567_s_at,0.00824203,-1.8374851,CCDC62
232398_at,0.0082891,-2.46209025,CCDC150
208379_x_at,0.00831127,-2.53150197,NPY2R
1563009_at,0.00831476,1.81042521,LOC284930
234320_at,0.00832972,2.207526,CD244
231791_at,0.00833258,-1.44418661,ASAH2B
1554156_a_at,0.00836301,-1.78599737,WFDC8
219727_at,0.00836454,-2.593984,DUOX2
210442_at,0.00836831,1.82728802,IL1RL1
236930_at,0.00837534,1.48328704,LOC101930388///LOC101928143///NUMB
235923_at,0.00842844,2.17579877,VTI1A
234804_at,0.00843755,-2.62410313,PROX2
1565929_s_at,0.00851894,-2.3342441,
207850_at,0.00852066,-2.81589562,CXCL3
203682_s_at,0.00852678,-1.69319453,IVD
241516_at,0.00854956,-2.30955993,
243166_at,0.0085565,2.42304053,SLC30A5
1566833_x_at,0.00856949,-2.49679195,TOP1P2
1569868_s_at,0.00859288,-2.77424105,EME2
1565674_at,0.00861328,2.27749032,FCGR2C///FCGR2A
1557621_at,0.00861822,2.08848181,KCP
1561100_at,0.00864378,-2.71751276,
219832_s_at,0.00867487,-2.1644629,HOXC13
201402_at,0.00869141,-1.62187389,GRK2
217986_s_at,0.00869168,1.29297794,BAZ1A
244747_at,0.00869504,-2.03116864,NPNT
1554821_a_at,0.00872435,2.31265009,ZBED1
207310_s_at,0.00874112,-1.8485564,NOS1
204766_s_at,0.00877595,-1.69687354,NUDT1
237494_at,0.00877802,-2.42243184,LOC105370829
215630_at,0.00878369,-2.33039849,
214819_at,0.00881779,-1.46440728,IQSEC2
1562389_at,0.00882256,1.88104805,LOC101927359
232186_at,0.00882524,-1.36931468,FITM2
241672_at,0.00885027,-1.27332076,SERTM1
1562762_at,0.00886169,-2.28678535,C3orf56
208452_x_at,0.00887105,-1.6675058,MYO9B
238163_at,0.00889448,-1.58180712,LOC102725343
1556894_at,0.00891389,-2.19684095,NT5DC2
242180_at,0.00893658,-1.87771222,TSPAN16
233128_at,0.00897413,-2.02718752,
243291_at,0.00899308,-3.18088435,
221106_at,0.00900013,2.09215643,SLC22A17
240896_at,0.00901217,-2.47001658,
240114_s_at,0.00903522,-2.08447066,TMEM174
215646_s_at,0.00905021,1.46919143,VCAN
242152_at,0.00905055,-1.67696776,
223969_s_at,0.00906596,2.01393609,RETNLB
231292_at,0.00910233,1.93755412,EID3
219661_at,0.0091024,-2.31715792,RANBP17
204926_at,0.00911417,2.29100217,INHBA
229980_s_at,0.00912907,1.32823256,SNX5
1558176_at,0.00916373,-1.77744025,CYAT1///IGLV1-44///IGLC1
240441_at,0.00920424,-2.41726872,FAM99B
223382_s_at,0.00921697,-1.18594753,ZNRF1
219786_at,0.00923437,1.49513659,TESMIN
1562226_at,0.00925147,-2.50334702,VWDE
239940_at,0.00927288,2.14204415,
1565558_at,0.00928896,2.29656339,
238343_x_at,0.00932783,-2.54320752,
