ID,P.Value,logFC,Gene.symbol
207381_at,0.00824576,-2.26480444,ALOX12B
1556607_at,0.00824885,2.1214467,EHD4
1556914_at,0.0082592,2.27828751,LOC100652911
1565787_at,0.0082671,-2.95533898,
231788_at,0.00829273,1.80087681,LPAR5
240443_at,0.00833481,-2.14579088,
231674_at,0.0083441,-2.47614261,
236986_at,0.00834999,2.01834922,LINC00582
220054_at,0.00835303,-2.23923566,IL23A
218655_s_at,0.0084188,-2.45362522,CWC25
1552631_a_at,0.00843612,2.11143105,MAP3K6
200827_at,0.00849621,2.59270995,PLOD1
234237_s_at,0.00850337,2.25009071,AMBRA1
217011_at,0.00850551,1.98888318,GBX1
239808_at,0.0085335,2.08621902,
204060_s_at,0.00854746,1.29224073,PRKY///PRKX
216237_s_at,0.00855999,-2.61541574,MCM5
203093_s_at,0.0085714,2.14343213,TIMM44
208196_x_at,0.00859218,1.73348352,NFATC1
1565838_at,0.00861347,-2.2064339,LOC101929162
229667_s_at,0.00861766,-2.66452888,HOXB8
217267_s_at,0.00864073,2.70556976,RAB7A
1566768_at,0.00866602,2.28442265,
223660_at,0.00868507,-2.51332528,ADORA3
1555374_at,0.00868528,2.22004065,TTL
238489_at,0.00868962,-1.36400624,PRKAA2
239148_at,0.00869698,2.02854638,MARVELD3
1553861_at,0.00870239,2.39412377,TCP11L2
216276_s_at,0.00873674,-2.38637035,ADAM3A
219719_at,0.00876933,2.04134893,HIGD1B
242584_at,0.00878381,-1.50480876,FAM161A
1560638_a_at,0.008791,-2.24691531,LOC105375839
205230_at,0.00879116,-1.23929935,RPH3A
241719_at,0.00879756,-2.63868682,
213967_at,0.00880726,-2.00704646,RALYL
240238_at,0.0088515,1.62452404,
240449_at,0.00887523,2.48902719,ZNF341
244458_at,0.00888329,1.73064218,
205856_at,0.0088858,1.60896336,SLC14A1
238702_at,0.00889201,-2.12775548,SPTSSB
229271_x_at,0.00889246,-3.1346242,COL11A1
241565_at,0.00889769,-1.97812587,COL4A4
203540_at,0.00890425,1.29362982,GFAP
209892_at,0.00891431,-2.73302306,FUT4
1558742_at,0.00892567,2.17364838,
1559109_a_at,0.00892858,-2.83608953,VPS53
1570536_at,0.0089482,1.73529109,
221325_at,0.00895274,-2.47344143,KCNK13
206954_at,0.00895997,2.48618896,WT1-AS
229669_at,0.00896062,-3.09768937,CCDC144NL-AS1
222271_at,0.00897046,3.03797373,
205571_at,0.0089823,1.69078714,LIPT1
207768_at,0.009072,-1.59566483,EGR4
214495_at,0.00907762,2.0565498,CACNG2
202268_s_at,0.00910112,-1.26840696,NAE1
239567_at,0.00910135,2.87242271,
1559675_at,0.00912248,-1.91612974,
243879_at,0.00914892,2.22196552,
214129_at,0.0091548,1.45514131,LOC101930416///LOC101929792///LOC100996724///PDE4DIP
224628_at,0.00915765,-1.19823166,ERLEC1
218424_s_at,0.00917371,1.90943813,STEAP3
232301_at,0.00918321,2.09743478,UBE3B
216629_at,0.00921778,1.68040015,SRRM2
218440_at,0.00922201,1.4402099,MCCC1
236234_at,0.00922475,-1.34662943,PDE1A
200654_at,0.00926906,1.90041953,P4HB
